"model","results_id","match_rate","n_bags","n_landmarks","party","y_hat_dem","y_hat_rep","y_hat_oth","class_rate","y_dem","y_rep","y_oth","y_hat_dem_2way","error_dem","error_rep","error_oth","error_dem_2way"
"logit_alldata","partyinsurvey_match14_bags192_lmks243.995586650213",0.138989548147642,192,243.995586650213,"insurvey",0.482059480201831,0.42521396818571,0.0927265516124587,0.619,0.484,0.431,0.085,0.531327662083107,-0.00194051979816889,-0.00578603181428972,0.00772655161245872,0.00236591344922754
"logit","partyinsurvey_match14_bags192_lmks243.995586650213",0.138989548147642,192,243.995586650213,"insurvey",0.507076254269919,0.421415754435454,0.0715079912946319,0.581,0.484,0.431,0.085,0.546128829882935,0.0230762542699186,-0.00958424556454646,-0.0134920087053681,0.0171670812490552
"dr","partyinsurvey_match14_bags192_lmks243.995586650213",0.138989548147642,192,243.995586650213,"insurvey",0.49219647475349,0.43680979000163,0.0709937352448802,0.515,0.484,0.431,0.085,0.529809640070867,0.00819647475349022,0.0058097900016299,-0.0140062647551198,0.000847891436986825
"dr_sepbags","partyinsurvey_match14_bags192_lmks243.995586650213",0.138989548147642,192,243.995586650213,"insurvey",0.510650305169802,0.416808421337984,0.0725412734922141,0.567,0.484,0.431,0.085,0.550590867900487,0.026650305169802,-0.0141915786620163,-0.0124587265077859,0.0216291192666069
"logit_bagfeat","partyinsurvey_match14_bags192_lmks243.995586650213",0.138989548147642,192,243.995586650213,"insurvey",0.508791523280566,0.415369312055475,0.0758391646639576,0.573721163490471,0.484,0.431,0.085,0.550544346640225,0.0247915232805663,-0.0156306879445249,-0.00916083533604242,0.0215825980063455
"logit_regfeat","partyinsurvey_match14_bags192_lmks243.995586650213",0.138989548147642,192,243.995586650213,"insurvey",0.508981603088644,0.41956826305303,0.0714501338583257,0.581,0.484,0.431,0.085,0.548146762654302,0.0249816030886443,-0.0114317369469704,-0.0135498661416743,0.0191850140204223
"grpmean","partyinsurvey_match14_bags192_lmks243.995586650213",0.138989548147642,192,243.995586650213,"insurvey",0.516555217766078,0.425684093335326,0.0577606888985959,0.454,0.484,0.431,0.085,0.548220830610714,0.0325552177660784,-0.00531590666467419,-0.0272393111014041,0.0192590819768339
"logit_alldata","partyinsurvey_match15_bags159_lmks474.871559132123",0.154166615458251,159,474.871559132123,"insurvey",0.482836342016124,0.423814975283715,0.0933486827001605,0.612,0.459,0.44,0.101,0.532549098868672,0.0238363420161239,-0.0161850247162848,-0.00765131729983948,0.0219818018720092
"logit","partyinsurvey_match15_bags159_lmks474.871559132123",0.154166615458251,159,474.871559132123,"insurvey",0.468949116324623,0.472612905195217,0.0584379784801597,0.587,0.459,0.44,0.101,0.498054409169627,0.00994911632462325,0.0326129051952167,-0.0425620215198403,-0.0125128878270364
"dr","partyinsurvey_match15_bags159_lmks474.871559132123",0.154166615458251,159,474.871559132123,"insurvey",0.510869084659733,0.424602279520102,0.0645286358201659,0.456,0.459,0.44,0.101,0.546108736431107,0.0518690846597328,-0.015397720479898,-0.0364713641798341,0.0355414394344437
"dr_sepbags","partyinsurvey_match15_bags159_lmks474.871559132123",0.154166615458251,159,474.871559132123,"insurvey",0.4870769061294,0.453859019701851,0.0590640741687481,0.582,0.459,0.44,0.101,0.517651513517354,0.0280769061294004,0.0138590197018513,-0.0419359258312519,0.00708421652069113
"logit_bagfeat","partyinsurvey_match15_bags159_lmks474.871559132123",0.154166615458251,159,474.871559132123,"insurvey",0.462270644671697,0.482415351295111,0.055314004033192,0.557,0.459,0.44,0.101,0.48933788226489,0.00327064467169663,0.0424153512951115,-0.045685995966808,-0.0212294147317725
"logit_regfeat","partyinsurvey_match15_bags159_lmks474.871559132123",0.154166615458251,159,474.871559132123,"insurvey",0.475414339227966,0.465757819191958,0.0588278415800761,0.588,0.459,0.44,0.101,0.50513004977337,0.0164143392279663,0.0257578191919581,-0.0421721584199239,-0.00543724722329275
"grpmean","partyinsurvey_match15_bags159_lmks474.871559132123",0.154166615458251,159,474.871559132123,"insurvey",0.496321730035134,0.43637413282704,0.0673041371378256,0.433,0.459,0.44,0.101,0.532136733738762,0.0373217300351338,-0.0036258671729596,-0.0336958628621744,0.0215694367420991
"logit_alldata","partyinsurvey_match18_bags146_lmks483.113583840663",0.184086187997815,146,483.113583840663,"insurvey",0.493258960843326,0.412938869947862,0.0938021692088113,0.627,0.506,0.409,0.085,0.544317084066146,-0.0127410391566737,0.00393886994786219,0.00880216920881131,-0.00868838041472864
"logit","partyinsurvey_match18_bags146_lmks483.113583840663",0.184086187997815,146,483.113583840663,"insurvey",0.517355581936134,0.431722765977279,0.0509216520865878,0.587,0.506,0.409,0.085,0.545113670619039,0.011355581936134,0.0227227659772793,-0.0340783479134122,-0.00789179386183481
"dr","partyinsurvey_match18_bags146_lmks483.113583840663",0.184086187997815,146,483.113583840663,"insurvey",0.505093167358748,0.42384166700428,0.0710651656369725,0.553,0.506,0.409,0.085,0.54373369226173,-0.000906832641252464,0.0148416670042804,-0.0139348343630275,-0.00927177221914421
"dr_sepbags","partyinsurvey_match18_bags146_lmks483.113583840663",0.184086187997815,146,483.113583840663,"insurvey",0.514854450629482,0.425917314843104,0.0592282345274137,0.591,0.506,0.409,0.085,0.547268178664833,0.00885445062948209,0.0169173148431043,-0.0257717654725863,-0.00573728581604094
"logit_bagfeat","partyinsurvey_match18_bags146_lmks483.113583840663",0.184086187997815,146,483.113583840663,"insurvey",0.528584936705234,0.419455336152991,0.0519597271417741,0.568,0.506,0.409,0.085,0.55755536113631,0.022584936705234,0.0104553361529914,-0.0330402728582259,0.0045498966554357
"logit_regfeat","partyinsurvey_match18_bags146_lmks483.113583840663",0.184086187997815,146,483.113583840663,"insurvey",0.51747334715167,0.431607840513231,0.0509188123350983,0.587,0.506,0.409,0.085,0.545236122975791,0.0114733471516697,0.0226078405132313,-0.0340811876649017,-0.00776934150508368
"grpmean","partyinsurvey_match18_bags146_lmks483.113583840663",0.184086187997815,146,483.113583840663,"insurvey",0.504428605914054,0.42848230609221,0.0670890879937364,0.472,0.506,0.409,0.085,0.540703940132139,-0.00157139408594609,0.0194823060922098,-0.0179109120062636,-0.0123015243487353
"logit_alldata","partyinsurvey_match19_bags76_lmks143.811934712343",0.190866530383917,76,143.811934712343,"insurvey",0.488821359225796,0.417926078702497,0.0932525620717071,0.627,0.477,0.434,0.089,0.539093179400252,0.011821359225796,-0.016073921297503,0.00425256207170713,0.0154927403223155
"logit","partyinsurvey_match19_bags76_lmks143.811934712343",0.190866530383917,76,143.811934712343,"insurvey",0.526072218072863,0.407598817647653,0.066328964279482,0.611,0.477,0.434,0.089,0.563444937184852,0.0490722180728631,-0.0264011823523465,-0.022671035720518,0.0398444981069158
"dr","partyinsurvey_match19_bags76_lmks143.811934712343",0.190866530383917,76,143.811934712343,"insurvey",0.511612431461698,0.428853805866176,0.0595337626721256,0.576,0.477,0.434,0.089,0.543998722288352,0.0346124314616978,-0.00514619413382372,-0.0294662373278744,0.0203982832104158
"dr_sepbags","partyinsurvey_match19_bags76_lmks143.811934712343",0.190866530383917,76,143.811934712343,"insurvey",0.539647426472318,0.392826601964061,0.0675259715636205,0.606,0.477,0.434,0.089,0.578726495339744,0.0626474264723182,-0.0411733980359387,-0.0214740284363795,0.0551260562618072
"logit_bagfeat","partyinsurvey_match19_bags76_lmks143.811934712343",0.190866530383917,76,143.811934712343,"insurvey",0.537682757293563,0.393896653977659,0.0684205887287779,0.61,0.477,0.434,0.089,0.577173293857845,0.0606827572935634,-0.0401033460223408,-0.0205794112712221,0.0535728547799088
"logit_regfeat","partyinsurvey_match19_bags76_lmks143.811934712343",0.190866530383917,76,143.811934712343,"insurvey",0.529256870375281,0.404371365022413,0.0663717646023071,0.608,0.477,0.434,0.089,0.566881816882751,0.0522568703752807,-0.0296286349775872,-0.0226282353976929,0.0432813778048144
